variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
skiplist,skiplist,random,20260920,131072,131072,8,6,0.0232033,131072,NA,NA,NA,15335424,8153520,62,454339457082336225,0,12933000,11461709,15593125,memtable,23203333,23203333,23203333,12933000,0,11461709,15593125
baseline,baseline,random,20260920,131072,131072,8,6,0.01942,131072,NA,NA,NA,26296320,18995320,144,454339457082336225,0,21038417,21918833,25400834,memtable,19420000,19420000,19420000,21038417,3799333,21918833,25400834
candidate,candidate,random,20260920,131072,131072,8,6,0.0203628,131072,NA,NA,NA,28803072,21057064,160,454339457082336225,0,19700333,29010459,25569041,memtable,20362792,20362792,20362792,19700333,4462167,29010459,25569041
candidate,candidate,random,20260920,131072,131072,8,7,0.0230635,131072,NA,NA,NA,28868608,21084712,160,454339457082336225,0,18514125,29269250,21758166,memtable,23063542,23063542,23063542,18514125,6211834,29269250,21758166
baseline,baseline,random,20260920,131072,131072,8,7,0.0277087,131072,NA,NA,NA,26312704,19006976,145,454339457082336225,0,18923292,26590541,22157334,memtable,27708708,27708708,27708708,18923292,4473000,26590541,22157334
skiplist,skiplist,random,20260920,131072,131072,8,7,0.0330372,131072,NA,NA,NA,15417344,8149240,62,454339457082336225,0,14462042,9250041,15426042,memtable,33037250,33037250,33037250,14462042,0,9250041,15426042
nibble,nibble,random,20260920,131072,131072,8,7,0.0273056,131072,NA,NA,NA,24707072,17453608,133,454339457082336225,0,23895000,31203083,25918542,memtable,27305584,27305584,27305584,23895000,6827250,31203083,25918542
nibble,nibble,random,20260920,131072,131072,8,8,0.024693,131072,NA,NA,NA,24788992,17460160,133,454339457082336225,0,24074375,32090125,22163583,memtable,24693042,24693042,24693042,24074375,7444916,32090125,22163583
skiplist,skiplist,random,20260920,131072,131072,8,8,0.0318248,131072,NA,NA,NA,15368192,8172224,62,454339457082336225,0,15976875,10063458,14569750,memtable,31824792,31824792,31824792,15976875,0,10063458,14569750
baseline,baseline,random,20260920,131072,131072,8,8,0.0229397,131072,NA,NA,NA,26263552,19012792,145,454339457082336225,0,22286208,24808875,21874958,memtable,22939709,22939709,22939709,22286208,4324375,24808875,21874958
candidate,candidate,random,20260920,131072,131072,8,8,0.0323611,131072,NA,NA,NA,28590080,21015304,160,454339457082336225,0,20741000,26758625,22820625,memtable,32361125,32361125,32361125,20741000,6226791,26758625,22820625
candidate,candidate,random,20260920,131072,131072,8,9,0.0246475,131072,NA,NA,NA,28852224,21032496,160,454339457082336225,0,17538750,30422125,21481709,memtable,24647541,24647541,24647541,17538750,4861167,30422125,21481709
baseline,baseline,random,20260920,131072,131072,8,9,0.021315,131072,NA,NA,NA,26378240,19010424,145,454339457082336225,0,19315125,24033000,23131958,memtable,21315000,21315000,21315000,19315125,3356708,24033000,23131958
skiplist,skiplist,random,20260920,131072,131072,8,9,0.031218,131072,NA,NA,NA,15187968,8171776,62,454339457082336225,0,15083208,15456542,8965541,memtable,31217959,31217959,31217959,15083208,42,15456542,8965541
nibble,nibble,random,20260920,131072,131072,8,9,0.0322282,131072,NA,NA,NA,24657920,17461096,133,454339457082336225,0,20645666,32032834,22166625,memtable,32228209,32228209,32228209,20645666,10064417,32032834,22166625
nibble,nibble,random,20260920,131072,131072,8,10,0.0312326,131072,NA,NA,NA,24674304,17462904,133,454339457082336225,0,24844208,32603542,23917166,memtable,31232625,31232625,31232625,24844208,6604417,32603542,23917166
skiplist,skiplist,random,20260920,131072,131072,8,10,0.0309058,131072,NA,NA,NA,15351808,8171680,62,454339457082336225,0,13999375,15395167,9705417,memtable,30905791,30905791,30905791,13999375,42,15395167,9705417
baseline,baseline,random,20260920,131072,131072,8,10,0.0235482,131072,NA,NA,NA,26329088,18998376,144,454339457082336225,0,15605875,27897250,24606000,memtable,23548208,23548208,23548208,15605875,4057500,27897250,24606000
candidate,candidate,random,20260920,131072,131072,8,10,0.0260233,131072,NA,NA,NA,28852224,21088800,160,454339457082336225,0,20316584,26396666,19939959,memtable,26023250,26023250,26023250,20316584,4121875,26396666,19939959
candidate,candidate,random,20260921,131072,131072,1,1,0.0525305,131072,NA,NA,NA,27066368,19659840,149,454339457082336225,0,17672750,26907167,23857042,memtable,52530458,52530458,52530458,17672750,2448208,26907167,23857042
baseline,baseline,random,20260921,131072,131072,1,1,0.0441128,131072,NA,NA,NA,24494080,17681664,134,454339457082336225,0,18558792,26176500,24131250,memtable,44112792,44112792,44112792,18558792,2440541,26176500,24131250
byte,byte,random,20260921,131072,131072,1,1,0.0460476,131072,NA,NA,NA,57032704,50072616,382,454339457082336225,0,19847958,26884667,26803125,memtable,46047583,46047583,46047583,19847958,2392292,26884667,26803125
nibble,nibble,random,20260921,131072,131072,1,1,0.0635007,131072,NA,NA,NA,23166976,16370216,124,454339457082336225,0,25724708,29296125,23085500,memtable,63500750,63500750,63500750,25724708,7733250,29296125,23085500
nibble,nibble,random,20260921,131072,131072,4,1,0.0255883,131072,NA,NA,NA,24674304,17421048,132,454339457082336225,0,29299500,33058250,20799167,memtable,25588333,25588333,25588333,29299500,6618917,33058250,20799167
skiplist,skiplist,random,20260921,131072,131072,4,1,0.0328143,131072,NA,NA,NA,15286272,8119216,61,454339457082336225,0,11811292,14676750,13620708,memtable,32814333,32814333,32814333,11811292,41,14676750,13620708
baseline,baseline,random,20260921,131072,131072,4,1,0.0196977,131072,NA,NA,NA,26230784,18982952,144,454339457082336225,0,18187917,26797875,24554750,memtable,19697708,19697708,19697708,18187917,4834916,26797875,24554750
candidate,candidate,random,20260921,131072,131072,4,1,0.0314327,131072,NA,NA,NA,28524544,20950808,159,454339457082336225,0,19444584,24718000,23741208,memtable,31432708,31432708,31432708,19444584,4196708,24718000,23741208
nibble,nibble,random,20260921,131072,131072,1,2,0.0604383,131072,NA,NA,NA,23134208,16370216,124,454339457082336225,0,20756334,32359500,21707458,memtable,60438333,60438333,60438333,20756334,7786458,32359500,21707458
byte,byte,random,20260921,131072,131072,1,2,0.0505773,131072,NA,NA,NA,57016320,50072616,382,454339457082336225,0,15120125,29112584,23354583,memtable,50577333,50577333,50577333,15120125,3170958,29112584,23354583
baseline,baseline,random,20260921,131072,131072,1,2,0.0435209,131072,NA,NA,NA,24477696,17681664,134,454339457082336225,0,19505667,24999000,21020541,memtable,43520917,43520917,43520917,19505667,4387459,24999000,21020541
candidate,candidate,random,20260921,131072,131072,1,2,0.0543114,131072,NA,NA,NA,27049984,19659840,149,454339457082336225,0,23107083,29020959,21907375,memtable,54311375,54311375,54311375,23107083,4761333,29020959,21907375
candidate,candidate,random,20260921,131072,131072,4,2,0.0268772,131072,NA,NA,NA,28934144,21049864,160,454339457082336225,0,18499583,27779459,20691000,memtable,26877167,26877167,26877167,18499583,4515917,27779459,20691000
baseline,baseline,random,20260921,131072,131072,4,2,0.0197138,131072,NA,NA,NA,26247168,18987056,144,454339457082336225,0,19233084,25403875,22165583,memtable,19713791,19713791,19713791,19233084,3825917,25403875,22165583
skiplist,skiplist,random,20260921,131072,131072,4,2,0.0322858,131072,NA,NA,NA,15155200,8106528,61,454339457082336225,0,11087042,14648791,11112834,memtable,32285792,32285792,32285792,11087042,41,14648791,11112834
nibble,nibble,random,20260921,131072,131072,4,2,0.024477,131072,NA,NA,NA,24674304,17456856,133,454339457082336225,0,21264792,30564250,24287458,memtable,24477000,24477000,24477000,21264792,8465083,30564250,24287458
candidate,candidate,random,20260921,131072,131072,1,3,0.0510994,131072,NA,NA,NA,27049984,19659840,149,454339457082336225,0,17846125,27802958,22506333,memtable,51099375,51099375,51099375,17846125,5182084,27802958,22506333
baseline,baseline,random,20260921,131072,131072,1,3,0.0416475,131072,NA,NA,NA,24494080,17681664,134,454339457082336225,0,19191625,28686500,18490083,memtable,41647542,41647542,41647542,19191625,3010083,28686500,18490083
byte,byte,random,20260921,131072,131072,1,3,0.048987,131072,NA,NA,NA,57032704,50072616,382,454339457082336225,0,13041792,29274583,25321750,memtable,48986958,48986958,48986958,13041792,2799833,29274583,25321750
nibble,nibble,random,20260921,131072,131072,1,3,0.0657555,131072,NA,NA,NA,23166976,16370216,124,454339457082336225,0,24224042,30358833,21662667,memtable,65755458,65755458,65755458,24224042,6664083,30358833,21662667
nibble,nibble,random,20260921,131072,131072,4,3,0.0290421,131072,NA,NA,NA,24625152,17403440,132,454339457082336225,0,24277542,29829666,25242500,memtable,29042083,29042083,29042083,24277542,5521625,29829666,25242500
skiplist,skiplist,random,20260921,131072,131072,4,3,0.035621,131072,NA,NA,NA,15286272,8106112,61,454339457082336225,0,13620333,13185250,12850000,memtable,35620958,35620958,35620958,13620333,42,13185250,12850000
baseline,baseline,random,20260921,131072,131072,4,3,0.0206311,131072,NA,NA,NA,26181632,18960672,144,454339457082336225,0,22281625,27690125,20063959,memtable,20631083,20631083,20631083,22281625,3584083,27690125,20063959
candidate,candidate,random,20260921,131072,131072,4,3,0.0312504,131072,NA,NA,NA,28753920,20928208,159,454339457082336225,0,21237167,23860958,22959125,memtable,31250416,31250416,31250416,21237167,2876791,23860958,22959125
nibble,nibble,random,20260921,131072,131072,1,4,0.062122,131072,NA,NA,NA,23183360,16370216,124,454339457082336225,0,19581500,33898208,22821042,memtable,62122000,62122000,62122000,19581500,8379000,33898208,22821042
byte,byte,random,20260921,131072,131072,1,4,0.044877,131072,NA,NA,NA,57016320,50072616,382,454339457082336225,0,18208125,30981625,25816833,memtable,44877042,44877042,44877042,18208125,4022792,30981625,25816833
baseline,baseline,random,20260921,131072,131072,1,4,0.0419757,131072,NA,NA,NA,24494080,17681664,134,454339457082336225,0,23324792,29081792,24646666,memtable,41975708,41975708,41975708,23324792,3427250,29081792,24646666
candidate,candidate,random,20260921,131072,131072,1,4,0.054415,131072,NA,NA,NA,27115520,19659840,149,454339457082336225,0,24152000,39703958,27861500,memtable,54415000,54415000,54415000,24152000,6218084,39703958,27861500
candidate,candidate,random,20260921,131072,131072,4,4,0.035769,131072,NA,NA,NA,28540928,20933120,159,454339457082336225,0,20863708,27481625,23723459,memtable,35769000,35769000,35769000,20863708,5889625,27481625,23723459
baseline,baseline,random,20260921,131072,131072,4,4,0.0178566,131072,NA,NA,NA,26198016,18974552,144,454339457082336225,0,22229750,22127708,24984292,memtable,17856625,17856625,17856625,22229750,3987708,22127708,24984292
skiplist,skiplist,random,20260921,131072,131072,4,4,0.0303541,131072,NA,NA,NA,15253504,8116544,61,454339457082336225,0,9427792,12613167,14096625,memtable,30354125,30354125,30354125,9427792,42,12613167,14096625
nibble,nibble,random,20260921,131072,131072,4,4,0.0329719,131072,NA,NA,NA,24592384,17391912,132,454339457082336225,0,25035667,30688291,23718417,memtable,32971875,32971875,32971875,25035667,9252917,30688291,23718417
candidate,candidate,random,20260921,131072,131072,1,5,0.0534426,131072,NA,NA,NA,27049984,19659840,149,454339457082336225,0,18801125,26000833,24683250,memtable,53442584,53442584,53442584,18801125,5670833,26000833,24683250
baseline,baseline,random,20260921,131072,131072,1,5,0.044254,131072,NA,NA,NA,24477696,17681664,134,454339457082336225,0,17976125,27478833,23516750,memtable,44253959,44253959,44253959,17976125,4390375,27478833,23516750
byte,byte,random,20260921,131072,131072,1,5,0.0478871,131072,NA,NA,NA,57016320,50072616,382,454339457082336225,0,17671333,28121459,26200375,memtable,47887083,47887083,47887083,17671333,2960958,28121459,26200375
nibble,nibble,random,20260921,131072,131072,1,5,0.0586752,131072,NA,NA,NA,23166976,16370216,124,454339457082336225,0,20869625,33427541,23483042,memtable,58675167,58675167,58675167,20869625,5634084,33427541,23483042
nibble,nibble,random,20260921,131072,131072,4,5,0.0237133,131072,NA,NA,NA,24674304,17421952,132,454339457082336225,0,20918416,28482875,26221959,memtable,23713334,23713334,23713334,20918416,4493667,28482875,26221959
skiplist,skiplist,random,20260921,131072,131072,4,5,0.0338351,131072,NA,NA,NA,15335424,8101264,61,454339457082336225,0,11987791,11342500,13559917,memtable,33835084,33835084,33835084,11987791,42,11342500,13559917
baseline,baseline,random,20260921,131072,131072,4,5,0.0253834,131072,NA,NA,NA,26165248,18941504,144,454339457082336225,0,19873708,26682917,23011792,memtable,25383417,25383417,25383417,19873708,5977667,26682917,23011792
candidate,candidate,random,20260921,131072,131072,4,5,0.0233695,131072,NA,NA,NA,28835840,20977392,160,454339457082336225,0,22155791,26493042,21463375,memtable,23369459,23369459,23369459,22155791,4262916,26493042,21463375
nibble,nibble,random,20260921,131072,131072,8,1,0.0280309,131072,NA,NA,NA,24690688,17434296,133,454339457082336225,0,19890292,25388125,25328375,memtable,28030875,28030875,28030875,19890292,5919750,25388125,25328375
skiplist,skiplist,random,20260921,131072,131072,8,1,0.0286826,131072,NA,NA,NA,15286272,8142392,62,454339457082336225,0,11173667,17841833,14654750,memtable,28682583,28682583,28682583,11173667,42,17841833,14654750
baseline,baseline,random,20260921,131072,131072,8,1,0.0269819,131072,NA,NA,NA,26263552,18991376,144,454339457082336225,0,19875750,26823792,21455416,memtable,26981875,26981875,26981875,19875750,5119417,26823792,21455416
candidate,candidate,random,20260921,131072,131072,8,1,0.0207022,131072,NA,NA,NA,28884992,21054200,160,454339457082336225,0,15886250,27609708,27717667,memtable,20702167,20702167,20702167,15886250,4877291,27609708,27717667
candidate,candidate,random,20260921,131072,131072,8,2,0.0426,131072,NA,NA,NA,28753920,21034144,160,454339457082336225,0,18135792,31189916,24565000,memtable,42600042,42600042,42600042,18135792,6840416,31189916,24565000
baseline,baseline,random,20260921,131072,131072,8,2,0.0250477,131072,NA,NA,NA,26361856,19028512,145,454339457082336225,0,18158958,27373875,18526875,memtable,25047667,25047667,25047667,18158958,2851667,27373875,18526875
